PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate,Cost,Is_Feasible
0.45,2,31,0,0.999382,19.63037541816227,0.2580645161290322,2.834912541816227,True
0.45,3,36,0,0.99907,19.823827505734183,0.2222222222222222,2.994882750573418,True
0.45,5,43,0,0.999004,19.94588860505063,0.1860465116279069,3.203963860505063,True
0.45,10,56,0,0.99922,20.244953756237557,0.1428571428571428,3.5994953756237553,True
0.45,20,56,1,0.998986,25.58435253346893,0.1428571428571428,4.156768586680157,True
0.45,40,62,2,0.999174,31.519806321560065,0.1290322580645161,4.895730632156006,True
0.55,2,28,0,0.999458,18.891530170891087,0.2857142857142857,2.6766530170891087,True
0.55,3,32,0,0.998992,18.949638928347454,0.25,2.808297226168092,True
0.55,5,40,0,0.999126,19.079688724868607,0.2,3.032968872486861,True
0.55,10,53,0,0.999122,19.400376222631163,0.1509433962264151,3.4306626222631165,True
0.55,20,54,1,0.999166,23.87261899501107,0.1481481481481481,3.906011899501107,True
0.55,40,59,2,0.999022,28.914768066245703,0.135593220338983,4.5508518066245705,True
0.65,2,25,0,0.999438,18.274347490982237,0.32,2.5305597490982237,True
0.65,3,29,0,0.999144,18.3307291811021,0.2758620689655172,2.6486979181102104,True
0.65,5,37,0,0.999148,18.446135915492302,0.2162162162162162,2.8852385915492302,True
0.65,10,39,1,0.99918,21.955672112670857,0.2051282051282051,3.292442211267086,True
0.65,20,51,1,0.99915,22.516858175603115,0.1568627450980392,3.6860608175603113,True
0.65,40,64,1,0.999098,23.468861990438445,0.125,4.146886199043845,True
0.75,2,22,0,0.999344,17.81233315978358,0.3636363636363636,2.399983315978358,True
0.75,3,26,0,0.999008,17.856780079685205,0.3076923076923077,2.5169280079685206,True
0.75,5,34,0,0.999084,17.947911633209863,0.2352941176470588,2.751041163320986,True
0.75,10,35,1,0.999028,20.937036183786027,0.2285714285714285,3.078078618378603,True
0.75,20,48,1,0.999064,21.382996022738823,0.1666666666666666,3.4882996022738824,True
0.75,40,61,1,0.99904,22.088152318533492,0.1311475409836065,3.9244402318533487,True
0.85,2,19,0,0.999108,17.44642586571837,0.4210526315789473,2.279017586571837,True
0.85,3,23,0,0.999062,17.476235786090427,0.3478260869565217,2.394498578609043,True
0.85,5,31,0,0.999166,17.533596096067196,0.2580645161290322,2.6252346096067196,True
0.85,10,32,1,0.999134,20.086363252114783,0.25,2.908636325211478,True
0.85,20,45,1,0.99914,20.361694903771095,0.1777777777777777,3.3017944903771097,True
0.85,40,58,1,0.99913,20.79658110248224,0.1379310344827586,3.710908110248224,True
0.95,2,16,0,0.999496,17.147850208812937,0.5,2.1647850208812938,True
0.95,3,19,0,0.99913,17.154977137802195,0.4210526315789473,2.2498727137802197,True
0.95,5,25,0,0.999018,17.17195093273903,0.32,2.420320093273903,True
0.95,10,26,1,0.99899,19.346878809135685,0.3076923076923077,2.682604547580159,True
0.95,20,37,1,0.99906,19.427530340058116,0.2162162162162162,2.9833780340058116,True
0.95,40,50,1,0.99908,19.55431419983308,0.16,3.3616814199833076,True
