PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate
0.45,2,10,0,0.01234,17.520134646552798,0.8
0.45,2,10,1,0.05755,19.86686493350264,0.8
0.45,2,10,2,0.02505,22.481828650391527,0.8
0.45,2,11,0,0.03522,17.757748001572534,0.7272727272727273
0.45,2,11,1,0.1059,20.273708869034646,0.7272727272727273
0.45,2,11,2,0.059174,23.16416253500108,0.7272727272727273
0.45,2,12,0,0.079528,17.987764831738023,0.6666666666666666
0.45,2,12,1,0.165652,20.66450473559956,0.6666666666666666
0.45,2,12,2,0.114002,23.82046772458782,0.6666666666666666
0.45,2,13,0,0.148426,18.2095947320032,0.6153846153846154
0.45,2,13,1,0.237534,21.043889425384286,0.6153846153846154
0.45,2,13,2,0.187248,24.428915539408038,0.6153846153846154
0.45,2,14,0,0.241282,18.416985582781205,0.5714285714285714
0.45,2,14,1,0.315104,21.40554083242846,0.5714285714285714
0.45,2,14,2,0.277222,25.02316804693599,0.5714285714285714
0.45,2,15,0,0.35174,18.611539445656977,0.5333333333333333
0.45,2,15,1,0.396514,21.745437448905673,0.5333333333333333
0.45,2,15,2,0.377908,25.57202821443721,0.5333333333333333
0.45,2,16,0,0.469918,18.7915407990985,0.5
0.45,2,16,1,0.477292,22.0667770543947,0.5
0.45,2,16,2,0.476232,26.078141293771495,0.5
0.45,2,17,0,0.583732,18.95296260823592,0.47058823529411764
0.45,2,17,1,0.553996,22.367612901398342,0.47058823529411764
0.45,2,17,2,0.57254,26.54363282646023,0.47058823529411764
0.45,2,18,0,0.686538,19.09591031657836,0.4444444444444444
0.45,2,18,1,0.624908,22.64647140674492,0.4444444444444444
0.45,2,18,2,0.659932,26.959696371980506,0.4444444444444444
0.45,2,19,0,0.77289,19.217489154093975,0.42105263157894735
0.45,2,19,1,0.688298,22.901171831431682,0.42105263157894735
0.45,2,19,2,0.73529,27.332991849369733,0.42105263157894735
0.45,2,20,0,0.841272,19.32005778612168,0.4
0.45,2,20,1,0.74556,23.131544899652095,0.4
0.45,2,20,2,0.79881,27.658620081987348,0.4
0.45,2,21,0,0.893238,19.400449221303237,0.38095238095238093
0.45,2,21,1,0.793618,23.342015253608736,0.38095238095238093
0.45,2,21,2,0.850482,27.938094334922845,0.38095238095238093
0.45,2,22,0,0.92884,19.46754761108148,0.36363636363636365
0.45,2,22,1,0.836104,23.531055485184403,0.36363636363636365
0.45,2,22,2,0.890078,28.1783376979753,0.36363636363636365
0.45,2,23,0,0.954146,19.517548838276486,0.34782608695652173
0.45,2,23,1,0.87042,23.694316006596296,0.34782608695652173
0.45,2,23,2,0.921522,28.374263321565184,0.34782608695652173
0.45,2,24,0,0.971684,19.55398110591826,0.3333333333333333
0.45,2,24,1,0.898302,23.840143789231057,0.3333333333333333
0.45,2,24,2,0.94429,28.526574911390483,0.3333333333333333
0.45,2,25,0,0.982596,19.583113546627036,0.32
0.45,2,25,1,0.921154,23.967709984516073,0.32
