window_idx,pdr_hat,b_hat,pdr_cell,b_cell,region
186,0.85,2,0.85,2,grid
187,0.98,1,0.95,2,grid
188,0.91,1,0.85,2,grid
189,0.93,2,0.85,2,grid
190,0.94,1,0.85,2,grid
191,0.95,2,0.95,2,grid
192,0.95,1,0.95,2,grid
193,0.77,2,0.75,2,grid
194,0.98,1,0.95,2,grid
195,0.92,1,0.85,2,grid
196,0.96,1,0.95,2,grid
197,0.9,1,0.85,2,grid
198,0.95,1,0.95,2,grid
199,0.96,2,0.95,2,grid
200,0.95,1,0.95,2,grid
201,0.94,1,0.85,2,grid
202,0.96,1,0.95,2,grid
203,0.98,1,0.95,2,grid
204,0.94,1,0.85,2,grid
205,0.87,2,0.85,2,grid
206,0.93,1,0.85,2,grid
207,0.96,1,0.95,2,grid
208,0.95,1,0.95,2,grid
209,0.92,1,0.85,2,grid
210,0.94,2,0.85,2,grid
211,0.87,2,0.85,2,grid
212,0.94,2,0.85,2,grid
213,0.89,1,0.85,2,grid
214,0.92,2,0.85,2,grid
215,0.92,1,0.85,2,grid
216,0.97,1,0.95,2,grid
217,0.87,3,0.85,3,grid
218,0.96,1,0.95,2,grid
219,0.94,2,0.85,2,grid
220,0.78,2,0.75,2,grid
221,0.84,2,0.75,2,grid
222,1.0,0,0.95,2,grid
223,1.0,0,0.95,2,grid
224,0.87,2,0.85,2,grid
225,0.95,2,0.95,2,grid
226,0.97,2,0.95,2,grid
227,0.97,1,0.95,2,grid
228,0.97,1,0.95,2,grid
229,0.98,1,0.95,2,grid
230,1.0,0,0.95,2,grid
231,0.98,1,0.95,2,grid
232,0.91,1,0.85,2,grid
233,0.96,1,0.95,2,grid
234,0.95,1,0.95,2,grid
235,0.96,1,0.95,2,grid
236,0.84,3,0.75,3,grid
237,0.89,1,0.85,2,grid
238,0.99,1,0.95,2,grid
239,0.98,1,0.95,2,grid
240,0.92,2,0.85,2,grid
241,0.95,1,0.95,2,grid
242,0.99,1,0.95,2,grid
243,0.97,1,0.95,2,grid
244,1.0,0,0.95,2,grid
245,0.94,2,0.85,2,grid
246,0.98,1,0.95,2,grid
247,0.92,2,0.85,2,grid
248,1.0,0,0.95,2,grid
249,0.98,1,0.95,2,grid
250,0.98,1,0.95,2,grid
251,0.95,1,0.95,2,grid
252,0.93,1,0.85,2,grid
253,0.98,1,0.95,2,grid
254,0.96,1,0.95,2,grid
255,0.9,2,0.85,2,grid
256,0.94,1,0.85,2,grid
257,0.91,2,0.85,2,grid
258,0.96,1,0.95,2,grid
259,0.89,2,0.85,2,grid
260,0.84,3,0.75,3,grid
261,0.9,3,0.85,3,grid
262,0.88,2,0.85,2,grid
263,0.85,3,0.85,3,grid
264,0.94,1,0.85,2,grid
265,0.88,3,0.85,3,grid
266,0.9,2,0.85,2,grid
267,0.85,2,0.85,2,grid
268,0.91,1,0.85,2,grid
269,0.87,2,0.85,2,grid
270,0.92,1,0.85,2,grid
271,0.87,2,0.85,2,grid
272,0.89,1,0.85,2,grid
273,0.88,2,0.85,2,grid
274,0.9,2,0.85,2,grid
275,0.96,2,0.95,2,grid
276,0.95,1,0.95,2,grid
277,0.92,1,0.85,2,grid
278,0.9,2,0.85,2,grid
279,0.94,1,0.85,2,grid
280,0.97,2,0.95,2,grid
281,0.98,1,0.95,2,grid
282,0.99,1,0.95,2,grid
283,0.98,1,0.95,2,grid
284,0.92,1,0.85,2,grid
285,0.88,2,0.85,2,grid
286,0.98,1,0.95,2,grid
287,0.96,1,0.95,2,grid
288,0.95,1,0.95,2,grid
289,0.93,1,0.85,2,grid
290,0.96,1,0.95,2,grid
291,0.99,1,0.95,2,grid
292,1.0,0,0.95,2,grid
293,0.92,1,0.85,2,grid
294,0.98,1,0.95,2,grid
295,0.98,1,0.95,2,grid
296,0.94,1,0.85,2,grid
297,0.97,1,0.95,2,grid
298,0.97,1,0.95,2,grid
299,0.94,2,0.85,2,grid
300,0.88,2,0.85,2,grid
301,0.93,1,0.85,2,grid
302,0.91,1,0.85,2,grid
303,1.0,0,0.95,2,grid
304,0.96,1,0.95,2,grid
305,0.95,2,0.95,2,grid
306,0.98,1,0.95,2,grid
307,0.94,1,0.85,2,grid
308,0.95,3,0.95,3,grid
309,0.89,2,0.85,2,grid
310,0.88,2,0.85,2,grid
311,0.84,2,0.75,2,grid
312,0.95,1,0.95,2,grid
313,0.97,1,0.95,2,grid
314,0.93,1,0.85,2,grid
315,0.94,1,0.85,2,grid
316,0.93,1,0.85,2,grid
317,0.94,2,0.85,2,grid
318,0.96,1,0.95,2,grid
319,0.98,1,0.95,2,grid
320,0.98,1,0.95,2,grid
321,0.99,1,0.95,2,grid
322,0.98,1,0.95,2,grid
323,0.95,1,0.95,2,grid
324,0.9,1,0.85,2,grid
325,0.97,1,0.95,2,grid
326,0.95,2,0.95,2,grid
327,0.97,1,0.95,2,grid
328,0.89,1,0.85,2,grid
329,0.92,1,0.85,2,grid
330,0.98,1,0.95,2,grid
331,0.98,2,0.95,2,grid
332,0.88,2,0.85,2,grid
333,0.88,2,0.85,2,grid
334,0.93,1,0.85,2,grid
335,0.97,1,0.95,2,grid
336,0.94,1,0.85,2,grid
337,0.85,2,0.85,2,grid
338,0.92,2,0.85,2,grid
339,0.88,2,0.85,2,grid
340,0.88,2,0.85,2,grid
341,0.94,1,0.85,2,grid
342,0.96,1,0.95,2,grid
343,0.91,1,0.85,2,grid
344,0.86,2,0.85,2,grid
345,0.97,1,0.95,2,grid
346,0.95,1,0.95,2,grid
347,0.94,2,0.85,2,grid
348,0.95,1,0.95,2,grid
349,0.99,1,0.95,2,grid
350,0.82,3,0.75,3,grid
351,0.98,1,0.95,2,grid
352,0.94,2,0.85,2,grid
353,0.91,2,0.85,2,grid
354,0.96,1,0.95,2,grid
355,0.96,1,0.95,2,grid
356,0.96,1,0.95,2,grid
357,0.95,2,0.95,2,grid
358,0.93,2,0.85,2,grid
359,0.97,1,0.95,2,grid
360,0.98,1,0.95,2,grid
361,0.98,1,0.95,2,grid
362,0.98,1,0.95,2,grid
363,0.86,2,0.85,2,grid
364,0.94,1,0.85,2,grid
365,0.91,1,0.85,2,grid
366,0.97,1,0.95,2,grid
367,0.92,3,0.85,3,grid
368,0.94,1,0.85,2,grid
369,0.96,1,0.95,2,grid
370,0.92,3,0.85,3,grid
371,0.97,1,0.95,2,grid
372,0.98,1,0.95,2,grid
373,0.99,1,0.95,2,grid
374,0.95,1,0.95,2,grid
375,0.97,1,0.95,2,grid
376,0.94,1,0.85,2,grid
377,0.92,2,0.85,2,grid
378,0.98,1,0.95,2,grid
379,0.94,1,0.85,2,grid
380,0.95,1,0.95,2,grid
381,0.92,1,0.85,2,grid
382,0.98,1,0.95,2,grid
383,0.9,1,0.85,2,grid
384,0.9,1,0.85,2,grid
385,0.9,1,0.85,2,grid
386,0.94,2,0.85,2,grid
387,0.88,3,0.85,3,grid
388,0.82,2,0.75,2,grid
389,0.96,1,0.95,2,grid
390,0.92,1,0.85,2,grid
391,0.97,1,0.95,2,grid
392,0.9,3,0.85,3,grid
393,0.96,1,0.95,2,grid
394,0.89,2,0.85,2,grid
395,0.85,3,0.85,3,grid
396,0.89,2,0.85,2,grid
397,0.89,2,0.85,2,grid
398,0.94,2,0.85,2,grid
399,0.87,2,0.85,2,grid
400,0.88,3,0.85,3,grid
401,0.91,1,0.85,2,grid
402,0.96,1,0.95,2,grid
403,0.93,1,0.85,2,grid
404,0.91,2,0.85,2,grid
405,0.85,3,0.85,3,grid
406,0.95,2,0.95,2,grid
407,0.91,1,0.85,2,grid
408,0.89,2,0.85,2,grid
409,0.94,2,0.85,2,grid
410,0.93,2,0.85,2,grid
411,0.97,1,0.95,2,grid
412,0.96,1,0.95,2,grid
413,0.97,1,0.95,2,grid
414,0.98,1,0.95,2,grid
415,0.98,1,0.95,2,grid
416,0.97,1,0.95,2,grid
417,0.84,4,0.75,5,grid
418,0.95,2,0.95,2,grid
419,0.91,1,0.85,2,grid
420,0.84,2,0.75,2,grid
421,0.89,2,0.85,2,grid
422,0.84,4,0.75,5,grid
423,0.89,2,0.85,2,grid
424,0.9,2,0.85,2,grid
425,0.86,3,0.85,3,grid
426,0.9,3,0.85,3,grid
427,0.96,1,0.95,2,grid
428,0.77,7,0.75,10,grid
429,0.86,4,0.85,5,grid
430,0.98,1,0.95,2,grid
431,0.91,2,0.85,2,grid
432,0.92,2,0.85,2,grid
433,0.93,2,0.85,2,grid
434,0.94,1,0.85,2,grid
435,0.93,2,0.85,2,grid
436,0.9,2,0.85,2,grid
437,0.85,2,0.85,2,grid
438,0.97,1,0.95,2,grid
439,0.89,1,0.85,2,grid
440,0.9,2,0.85,2,grid
441,0.94,1,0.85,2,grid
442,0.99,1,0.95,2,grid
443,0.89,3,0.85,3,grid
444,0.93,3,0.85,3,grid
445,0.91,2,0.85,2,grid
446,0.95,1,0.95,2,grid
447,0.96,1,0.95,2,grid
448,0.98,1,0.95,2,grid
449,0.99,1,0.95,2,grid
450,0.96,1,0.95,2,grid
451,0.98,1,0.95,2,grid
452,0.98,1,0.95,2,grid
453,0.96,1,0.95,2,grid
454,0.97,1,0.95,2,grid
455,0.97,1,0.95,2,grid
456,0.83,4,0.75,5,grid
457,0.94,1,0.85,2,grid
458,0.93,1,0.85,2,grid
459,0.89,2,0.85,2,grid
460,0.82,2,0.75,2,grid
461,0.84,4,0.75,5,grid
462,0.88,4,0.85,5,grid
463,0.94,2,0.85,2,grid
464,0.89,2,0.85,2,grid
465,0.93,1,0.85,2,grid
466,0.96,1,0.95,2,grid
467,0.93,1,0.85,2,grid
468,0.89,2,0.85,2,grid
469,0.9,1,0.85,2,grid
470,0.92,1,0.85,2,grid
471,0.86,2,0.85,2,grid
472,0.83,2,0.75,2,grid
473,0.89,2,0.85,2,grid
474,0.94,2,0.85,2,grid
475,0.91,1,0.85,2,grid
476,0.97,1,0.95,2,grid
477,0.95,1,0.95,2,grid
478,0.95,2,0.95,2,grid
479,0.9,2,0.85,2,grid
480,0.96,1,0.95,2,grid
481,0.82,2,0.75,2,grid
482,0.86,2,0.85,2,grid
483,0.83,3,0.75,3,grid
484,0.85,2,0.85,2,grid
485,0.84,2,0.75,2,grid
486,0.85,2,0.85,2,grid
487,0.87,1,0.85,2,grid
488,0.86,3,0.85,3,grid
489,0.93,1,0.85,2,grid
490,0.89,1,0.85,2,grid
491,0.89,1,0.85,2,grid
492,0.92,2,0.85,2,grid
493,0.83,6,0.75,10,grid
494,0.87,2,0.85,2,grid
495,0.63,28,0.55,40,grid
496,0.83,5,0.75,5,grid
497,0.95,1,0.95,2,grid
498,0.89,2,0.85,2,grid
499,0.82,2,0.75,2,grid
500,0.97,1,0.95,2,grid
501,0.93,1,0.85,2,grid
502,0.88,2,0.85,2,grid
503,0.93,4,0.85,5,grid
504,0.96,1,0.95,2,grid
505,0.92,1,0.85,2,grid
506,0.86,2,0.85,2,grid
507,0.89,2,0.85,2,grid
508,0.89,2,0.85,2,grid
509,0.84,2,0.75,2,grid
510,0.79,3,0.75,3,grid
511,0.89,2,0.85,2,grid
512,0.93,1,0.85,2,grid
513,0.83,4,0.75,5,grid
514,0.9,1,0.85,2,grid
515,0.89,2,0.85,2,grid
516,0.93,2,0.85,2,grid
517,0.97,1,0.95,2,grid
518,0.92,1,0.85,2,grid
519,0.96,1,0.95,2,grid
520,0.92,1,0.85,2,grid
521,0.91,3,0.85,3,grid
522,0.98,1,0.95,2,grid
523,0.97,1,0.95,2,grid
524,0.98,1,0.95,2,grid
525,0.9,1,0.85,2,grid
526,0.92,2,0.85,2,grid
527,0.98,1,0.95,2,grid
528,0.99,1,0.95,2,grid
529,0.98,1,0.95,2,grid
530,0.95,1,0.95,2,grid
531,0.97,1,0.95,2,grid
532,0.95,1,0.95,2,grid
533,0.89,1,0.85,2,grid
534,0.94,2,0.85,2,grid
535,0.98,1,0.95,2,grid
536,0.96,1,0.95,2,grid
537,0.84,3,0.75,3,grid
538,0.95,1,0.95,2,grid
539,0.9,2,0.85,2,grid
540,0.91,1,0.85,2,grid
541,0.92,2,0.85,2,grid
542,0.83,2,0.75,2,grid
543,0.86,2,0.85,2,grid
544,0.92,1,0.85,2,grid
545,0.92,2,0.85,2,grid
546,0.53,12,0.45,20,grid
547,0.04,85,SAT,SAT,sat_worst
548,0.84,12,0.75,20,grid
549,0.97,1,0.95,2,grid
550,0.89,1,0.85,2,grid
551,0.93,1,0.85,2,grid
552,0.93,2,0.85,2,grid
553,0.97,1,0.95,2,grid
554,0.92,3,0.85,3,grid
555,0.88,1,0.85,2,grid
556,0.99,1,0.95,2,grid
557,0.93,1,0.85,2,grid
558,0.89,2,0.85,2,grid
559,0.89,3,0.85,3,grid
560,0.47,21,0.45,40,grid
561,0.8,3,0.75,3,grid
562,0.96,1,0.95,2,grid
563,0.33,45,SAT,SAT,sat_worst
564,0.74,7,0.65,10,grid
565,0.9,2,0.85,2,grid
566,0.95,1,0.95,2,grid
567,0.96,2,0.95,2,grid
568,0.85,2,0.85,2,grid
569,0.82,3,0.75,3,grid
570,0.89,3,0.85,3,grid
571,0.91,2,0.85,2,grid
572,0.9,3,0.85,3,grid
573,0.86,2,0.85,2,grid
574,0.93,1,0.85,2,grid
575,0.88,5,0.85,5,grid
576,0.9,2,0.85,2,grid
577,0.94,1,0.85,2,grid
578,0.85,3,0.85,3,grid
579,0.24,24,SAT,40,sat_worst
580,0.19,51,SAT,SAT,sat_worst
581,0.12,36,SAT,40,sat_worst
582,0.01,94,SAT,SAT,sat_worst
583,0.4,43,SAT,SAT,sat_worst
584,0.71,6,0.65,10,grid
585,0.81,2,0.75,2,grid
586,0.71,7,0.65,10,grid
587,0.58,21,0.55,40,grid
588,0.42,24,SAT,40,sat_worst
589,0.06,58,SAT,SAT,sat_worst
590,0.36,58,SAT,SAT,sat_worst
591,0.84,3,0.75,3,grid
592,0.93,1,0.85,2,grid
593,0.26,37,SAT,40,sat_worst
594,0.03,93,SAT,SAT,sat_worst
595,0.58,11,0.55,20,grid
596,0.92,1,0.85,2,grid
597,0.99,1,0.95,2,grid
598,0.95,1,0.95,2,grid
599,0.95,1,0.95,2,grid
600,0.96,1,0.95,2,grid
601,0.86,2,0.85,2,grid
602,0.47,8,0.45,10,grid
603,0.1,77,SAT,SAT,sat_worst
604,0.0,100,SAT,SAT,sat_worst
605,0.01,61,SAT,SAT,sat_worst
606,0.0,100,SAT,SAT,sat_worst
607,0.16,40,SAT,40,sat_worst
608,0.23,20,SAT,20,sat_worst
609,0.13,50,SAT,SAT,sat_worst
610,0.89,1,0.85,2,grid
611,0.1,66,SAT,SAT,sat_worst
612,0.18,46,SAT,SAT,sat_worst
613,0.27,64,SAT,SAT,sat_worst
614,0.2,34,SAT,40,sat_worst
615,0.81,4,0.75,5,grid
616,0.92,2,0.85,2,grid
617,0.54,41,0.45,SAT,sat_worst
618,0.0,100,SAT,SAT,sat_worst
619,0.39,53,SAT,SAT,sat_worst
620,0.9,2,0.85,2,grid
621,0.95,1,0.95,2,grid
622,0.91,3,0.85,3,grid
623,0.94,2,0.85,2,grid
624,0.92,1,0.85,2,grid
625,0.38,42,SAT,SAT,sat_worst
626,0.88,3,0.85,3,grid
627,0.99,1,0.95,2,grid
628,1.0,0,0.95,2,grid
629,0.92,1,0.85,2,grid
630,0.97,1,0.95,2,grid
631,0.58,18,0.55,20,grid
632,0.89,3,0.85,3,grid
633,0.98,1,0.95,2,grid
634,0.92,2,0.85,2,grid
635,0.89,2,0.85,2,grid
636,0.94,1,0.85,2,grid
637,0.69,11,0.65,20,grid
638,0.94,1,0.85,2,grid
639,0.94,2,0.85,2,grid
640,0.94,2,0.85,2,grid
641,0.95,1,0.95,2,grid
642,0.97,1,0.95,2,grid
643,0.9,2,0.85,2,grid
644,0.94,2,0.85,2,grid
645,0.87,2,0.85,2,grid
646,0.91,2,0.85,2,grid
647,0.96,1,0.95,2,grid
648,0.94,2,0.85,2,grid
649,0.9,1,0.85,2,grid
650,0.95,1,0.95,2,grid
651,0.95,2,0.95,2,grid
652,0.95,1,0.95,2,grid
653,0.87,4,0.85,5,grid
654,0.99,1,0.95,2,grid
655,0.96,2,0.95,2,grid
656,0.97,1,0.95,2,grid
657,0.96,2,0.95,2,grid
658,1.0,0,0.95,2,grid
659,0.97,2,0.95,2,grid
660,0.93,1,0.85,2,grid
661,0.88,3,0.85,3,grid
662,0.9,2,0.85,2,grid
663,0.88,1,0.85,2,grid
664,0.97,1,0.95,2,grid
665,0.97,2,0.95,2,grid
666,0.94,1,0.85,2,grid
667,0.92,2,0.85,2,grid
668,0.96,1,0.95,2,grid
669,0.85,2,0.85,2,grid
670,0.98,1,0.95,2,grid
671,0.98,1,0.95,2,grid
672,0.9,1,0.85,2,grid
673,0.82,3,0.75,3,grid
674,0.89,2,0.85,2,grid
675,0.91,2,0.85,2,grid
676,0.88,1,0.85,2,grid
677,0.9,1,0.85,2,grid
678,0.93,2,0.85,2,grid
679,0.98,1,0.95,2,grid
680,0.99,1,0.95,2,grid
681,1.0,0,0.95,2,grid
682,0.98,1,0.95,2,grid
683,0.98,1,0.95,2,grid
684,0.98,1,0.95,2,grid
685,0.96,2,0.95,2,grid
686,0.99,1,0.95,2,grid
687,0.96,2,0.95,2,grid
688,0.92,1,0.85,2,grid
689,0.93,2,0.85,2,grid
690,0.89,2,0.85,2,grid
691,0.9,1,0.85,2,grid
692,0.9,2,0.85,2,grid
693,0.87,1,0.85,2,grid
694,0.91,2,0.85,2,grid
695,0.9,1,0.85,2,grid
696,0.9,1,0.85,2,grid
697,0.88,2,0.85,2,grid
698,0.94,1,0.85,2,grid
699,0.88,1,0.85,2,grid
700,0.97,1,0.95,2,grid
701,0.95,1,0.95,2,grid
702,0.95,1,0.95,2,grid
703,0.92,2,0.85,2,grid
704,0.97,1,0.95,2,grid
705,0.92,2,0.85,2,grid
706,0.97,1,0.95,2,grid
707,0.98,1,0.95,2,grid
708,0.97,1,0.95,2,grid
709,0.91,1,0.85,2,grid
710,0.94,2,0.85,2,grid
711,0.92,2,0.85,2,grid
712,0.97,1,0.95,2,grid
713,0.92,2,0.85,2,grid
714,0.96,1,0.95,2,grid
715,0.95,3,0.95,3,grid
716,0.96,2,0.95,2,grid
717,0.96,1,0.95,2,grid
718,0.98,1,0.95,2,grid
719,0.92,2,0.85,2,grid
720,0.97,1,0.95,2,grid
721,0.98,1,0.95,2,grid
722,0.95,1,0.95,2,grid
723,0.97,1,0.95,2,grid
724,0.91,1,0.85,2,grid
725,0.95,1,0.95,2,grid
726,0.87,3,0.85,3,grid
727,0.96,1,0.95,2,grid
728,0.98,1,0.95,2,grid
729,0.98,1,0.95,2,grid
730,0.99,1,0.95,2,grid
731,0.96,1,0.95,2,grid
732,0.96,1,0.95,2,grid
733,0.92,2,0.85,2,grid
734,0.93,1,0.85,2,grid
735,0.95,1,0.95,2,grid
736,0.93,1,0.85,2,grid
737,0.91,1,0.85,2,grid
738,0.92,2,0.85,2,grid
739,0.97,1,0.95,2,grid
740,0.99,1,0.95,2,grid
741,0.92,1,0.85,2,grid
742,0.88,1,0.85,2,grid
743,0.96,1,0.95,2,grid
744,0.99,1,0.95,2,grid
745,0.97,1,0.95,2,grid
746,0.89,2,0.85,2,grid
747,0.9,2,0.85,2,grid
748,0.86,3,0.85,3,grid
749,0.95,1,0.95,2,grid
750,0.91,2,0.85,2,grid
751,0.99,1,0.95,2,grid
752,0.95,1,0.95,2,grid
753,0.88,3,0.85,3,grid
754,0.95,1,0.95,2,grid
755,0.86,2,0.85,2,grid
756,0.93,4,0.85,5,grid
757,0.87,3,0.85,3,grid
758,0.92,2,0.85,2,grid
759,0.95,1,0.95,2,grid
760,0.88,2,0.85,2,grid
761,0.93,1,0.85,2,grid
762,0.94,1,0.85,2,grid
763,1.0,0,0.95,2,grid
764,0.96,1,0.95,2,grid
765,0.87,3,0.85,3,grid
766,0.98,1,0.95,2,grid
767,0.9,3,0.85,3,grid
768,0.94,1,0.85,2,grid
769,0.99,1,0.95,2,grid
770,0.96,1,0.95,2,grid
771,0.94,1,0.85,2,grid
772,0.99,1,0.95,2,grid
773,1.0,0,0.95,2,grid
774,0.96,2,0.95,2,grid
775,0.95,1,0.95,2,grid
776,1.0,0,0.95,2,grid
777,0.97,1,0.95,2,grid
778,0.83,2,0.75,2,grid
779,0.94,1,0.85,2,grid
780,0.92,2,0.85,2,grid
781,0.96,1,0.95,2,grid
782,0.95,2,0.95,2,grid
783,0.94,1,0.85,2,grid
784,0.91,2,0.85,2,grid
785,0.96,1,0.95,2,grid
786,0.94,2,0.85,2,grid
787,0.95,1,0.95,2,grid
788,0.96,1,0.95,2,grid
789,0.95,1,0.95,2,grid
790,0.81,4,0.75,5,grid
791,0.89,3,0.85,3,grid
792,0.87,1,0.85,2,grid
793,0.93,1,0.85,2,grid
794,0.85,2,0.85,2,grid
795,0.93,1,0.85,2,grid
796,0.94,2,0.85,2,grid
797,0.97,1,0.95,2,grid
798,0.93,1,0.85,2,grid
799,0.93,1,0.85,2,grid
800,0.96,1,0.95,2,grid
801,0.96,1,0.95,2,grid
802,0.91,2,0.85,2,grid
803,1.0,0,0.95,2,grid
804,0.99,1,0.95,2,grid
805,0.96,2,0.95,2,grid
806,0.98,1,0.95,2,grid
807,0.93,2,0.85,2,grid
808,0.96,1,0.95,2,grid
809,0.97,2,0.95,2,grid
810,0.98,1,0.95,2,grid
811,0.97,1,0.95,2,grid
