PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate
0.45,2,89,1,0.99699,48.11323429677174,0.30337078651685395
0.45,2,89,2,0.99964,64.48628044557579,0.30337078651685395
0.45,2,90,0,1.0,31.46550288461538,0.3
0.45,2,90,1,0.99733,48.12979308600115,0.3
0.45,2,90,2,0.99969,64.54322378398842,0.3
0.45,2,91,0,0.99998,31.464767756893593,0.2967032967032967
0.45,2,91,1,0.99809,48.11999380354939,0.2967032967032967
0.45,2,91,2,0.99983,64.46912994439823,0.2967032967032967
0.45,2,92,0,0.99999,31.471278174320197,0.29347826086956524
0.45,2,92,1,0.99847,48.12528360699562,0.29347826086956524
0.45,2,92,2,0.99986,64.54181085351951,0.29347826086956524
0.45,2,93,0,1.0,31.460027884615375,0.2903225806451613
0.45,2,93,1,0.9988,48.15856142755922,0.2903225806451613
0.45,2,93,2,0.99989,64.5045887739959,0.2903225806451613
0.45,2,94,0,1.0,31.458738461538466,0.2872340425531915
0.45,2,94,1,0.9991,48.1295723843767,0.2872340425531915
0.45,2,94,2,0.99995,64.52424063510867,0.2872340425531915
0.45,2,95,0,1.0,31.45328365384615,0.28421052631578947
0.45,2,95,1,0.99922,48.16445096405965,0.28421052631578947
0.45,2,95,2,0.99995,64.49889225230493,0.28421052631578947
0.45,2,96,0,1.0,31.46254038461538,0.28125
0.45,2,96,1,0.9994,48.210108757562224,0.28125
0.45,2,96,2,0.99996,64.52879942120761,0.28125
0.45,2,97,0,1.0,31.460192307692306,0.27835051546391754
0.45,2,97,1,0.99948,48.167760697100945,0.27835051546391754
0.45,2,97,2,0.99997,64.52269625781081,0.27835051546391754
0.45,2,98,0,1.0,31.466674038461534,0.2755102040816326
0.45,2,98,1,0.99975,48.187183334295106,0.2755102040816326
0.45,2,98,2,0.99998,64.56174123482468,0.2755102040816326
0.45,2,99,0,1.0,31.46101153846154,0.2727272727272727
0.45,2,99,1,0.99974,48.16123538273797,0.2727272727272727
0.45,2,99,2,0.99999,64.56375525293714,0.2727272727272727
0.45,2,100,0,1.0,31.46534423076923,0.27
0.45,2,100,1,0.99981,48.212733496287356,0.27
0.45,2,100,2,0.99999,64.5318568570301,0.27
0.45,2,101,0,1.0,31.468350000000004,0.26732673267326734
0.45,2,101,1,0.99976,48.171934341164956,0.26732673267326734
0.45,2,101,2,1.0,64.54132211538462,0.26732673267326734
0.45,2,102,0,1.0,31.4738625,0.2647058823529412
0.45,2,102,1,0.99981,48.23502426999591,0.2647058823529412
0.45,2,102,2,0.99998,64.52443375790592,0.2647058823529412
0.45,2,103,0,1.0,31.452501923076923,0.2621359223300971
0.45,2,103,1,0.9999,48.167555217060155,0.2621359223300971
0.45,2,103,2,1.0,64.54139134615384,0.2621359223300971
0.45,2,104,0,1.0,31.46830673076923,0.25961538461538464
0.45,2,104,1,0.99997,48.16616806196494,0.25961538461538464
0.45,2,104,2,1.0,64.5137423076923,0.25961538461538464
0.45,2,105,0,1.0,31.457117307692304,0.2571428571428571
0.45,2,105,1,0.99996,48.20149152119931,0.2571428571428571
0.45,2,105,2,0.99999,64.50567005670057,0.2571428571428571
0.45,2,106,0,1.0,31.47420288461539,0.25471698113207547
0.45,2,106,1,0.99996,48.178171357623526,0.25471698113207547
0.45,2,106,2,0.99998,64.53792537389207,0.25471698113207547
0.45,2,107,0,1.0,31.4574,0.2523364485981308
0.45,2,107,1,0.99997,48.20208837034341,0.2523364485981308
0.45,2,107,2,1.0,64.5369346153846,0.2523364485981308
0.45,2,108,0,1.0,31.4619,0.25
0.45,2,108,1,0.99998,48.17647506796289,0.25
0.45,2,108,2,0.99998,64.51265563772813,0.25
0.45,2,109,0,1.0,31.460702884615387,0.24770642201834864
0.45,2,109,1,0.99999,48.21267443443664,0.24770642201834864
0.45,2,109,2,0.99999,64.55485901012855,0.24770642201834864
0.45,2,110,0,1.0,31.463826923076926,0.24545454545454545
0.45,2,110,1,0.99999,48.16823937470143,0.24545454545454545
0.45,2,110,2,1.0,64.52876538461538,0.24545454545454545
0.45,2,111,0,1.0,31.468000961538454,0.24324324324324326
0.45,2,111,1,1.0,48.18718846153846,0.24324324324324326
0.45,2,111,2,0.99999,64.53350975817449,0.24324324324324326
0.45,2,112,0,1.0,31.462713461538456,0.24107142857142858
0.45,2,112,1,1.0,48.17434615384615,0.24107142857142858
0.45,2,112,2,0.99999,64.55750711353268,0.24107142857142858
0.45,2,113,0,1.0,31.47693461538461,0.23893805309734514
0.45,2,113,1,0.99999,48.181964511952806,0.23893805309734514
0.45,2,113,2,1.0,64.53441634615385,0.23893805309734514
0.45,2,114,0,1.0,31.46995673076923,0.23684210526315788
0.45,2,114,1,1.0,48.19754423076923,0.23684210526315788
0.45,2,114,2,0.99999,64.54719162576241,0.23684210526315788
0.45,2,115,0,1.0,31.467565384615384,0.23478260869565218
0.45,2,115,1,1.0,48.17593846153846,0.23478260869565218
0.45,2,115,2,0.99998,64.5534247223406,0.23478260869565218
0.45,2,116,0,1.0,31.475939423076916,0.23275862068965517
0.45,2,116,1,1.0,48.19328653846153,0.23275862068965517
0.45,2,116,2,0.99999,64.5309481940973,0.23275862068965517
0.45,2,117,0,1.0,31.471476923076924,0.23076923076923078
0.45,2,117,1,1.0,48.18078461538461,0.23076923076923078
0.45,2,117,2,1.0,64.52674903846153,0.23076923076923078
0.45,2,118,0,1.0,31.46589519230768,0.2288135593220339
0.45,2,118,1,1.0,48.18450000000001,0.2288135593220339
0.45,2,118,2,0.99999,64.54650796507964,0.2288135593220339
0.45,2,119,0,1.0,31.466117307692304,0.226890756302521
0.45,2,119,1,1.0,48.18873461538461,0.226890756302521
0.45,2,119,2,1.0,64.53191538461537,0.226890756302521
0.45,2,120,0,1.0,31.460247115384615,0.225
0.45,2,120,1,1.0,48.20443846153846,0.225
0.45,2,120,2,1.0,64.50662019230766,0.225
0.45,2,121,0,1.0,31.47527307692307,0.2231404958677686
0.45,2,121,1,1.0,48.16292884615384,0.2231404958677686
0.45,2,121,2,1.0,64.52559807692306,0.2231404958677686
0.45,2,122,0,1.0,31.45912788461538,0.22131147540983606
0.45,2,122,1,1.0,48.21394038461537,0.22131147540983606
0.45,2,122,2,0.99997,64.53092631240476,0.22131147540983606
0.45,2,123,0,1.0,31.45814134615384,0.21951219512195122
0.45,2,123,1,1.0,48.17348653846153,0.21951219512195122
0.45,2,123,2,0.99998,64.52235679328972,0.21951219512195122
0.45,2,124,0,1.0,31.458729807692304,0.21774193548387097
0.45,2,124,1,1.0,48.16717499999999,0.21774193548387097
0.45,2,124,2,0.99996,64.48678331748654,0.21774193548387097
0.45,2,125,0,1.0,31.46234711538461,0.216
0.45,2,125,1,1.0,48.204721153846144,0.216
0.45,2,125,2,1.0,64.5205355769231,0.216
0.45,2,126,0,1.0,31.462540384615384,0.21428571428571427
0.45,2,126,1,1.0,48.18016153846154,0.21428571428571427
0.45,2,126,2,1.0,64.53797307692307,0.21428571428571427
0.45,2,127,0,1.0,31.464698076923074,0.2125984251968504
0.45,2,127,1,1.0,48.19371923076923,0.2125984251968504
0.45,2,127,2,1.0,64.51447788461537,0.2125984251968504
0.45,2,128,0,1.0,31.465938461538457,0.2109375
0.45,2,128,1,1.0,48.22234615384615,0.2109375
0.45,2,128,2,0.99998,64.51226620686258,0.2109375
0.45,3,40,0,0.00264,25.920017482517483,0.675
0.45,3,40,1,0.00352,36.75753933566433,0.675
0.45,3,40,2,0.00358,47.58003867640738,0.675
0.45,3,41,0,0.0046,26.179765886287626,0.6585365853658537
0.45,3,41,1,0.00604,37.40830361691289,0.6585365853658537
0.45,3,41,2,0.00559,48.45431402229256,0.6585365853658537
0.45,3,42,0,0.00808,26.47634234577304,0.6428571428571429
0.45,3,42,1,0.00926,37.790330619704264,0.6428571428571429
0.45,3,42,2,0.00926,49.25465193553746,0.6428571428571429
0.45,3,43,0,0.01232,26.685501998001996,0.627906976744186
0.45,3,43,1,0.01545,38.26811053024645,0.627906976744186
0.45,3,43,2,0.01472,50.017506270903006,0.627906976744186
0.45,3,44,0,0.01848,26.92026723276723,0.6136363636363636
0.45,3,44,1,0.02159,38.83876082231802,0.6136363636363636
0.45,3,44,2,0.02135,50.710998018375065,0.6136363636363636
0.45,3,45,0,0.02657,27.190404157378186,0.6
0.45,3,45,1,0.03144,39.305453611274224,0.6
0.45,3,45,2,0.02951,51.46521387795532,0.6
0.45,3,46,0,0.04012,27.404133752588386,0.5869565217391305
0.45,3,46,1,0.04282,39.75824560773183,0.5869565217391305
0.45,3,46,2,0.04206,52.186848458246466,0.5869565217391305
0.45,3,47,0,0.05386,27.656691850666974,0.574468085106383
0.45,3,47,1,0.05947,40.25074051557993,0.574468085106383
0.45,3,47,2,0.0583,52.89137749043409,0.574468085106383
0.45,3,48,0,0.07139,27.88783443059252,0.5625
0.45,3,48,1,0.07835,40.69181679838987,0.5625
0.45,3,48,2,0.07699,53.540020182441275,0.5625
0.45,3,49,0,0.09469,28.10780319585368,0.5510204081632653
0.45,3,49,1,0.09972,41.152515504952326,0.5510204081632653
0.45,3,49,2,0.10222,54.24140804900441,0.5510204081632653
0.45,3,50,0,0.12083,28.333712654142182,0.54
0.45,3,50,1,0.12893,41.58728051596275,0.54
0.45,3,50,2,0.12752,54.89876399478815,0.54
0.45,3,51,0,0.15029,28.565753645516104,0.5294117647058824
0.45,3,51,1,0.15891,42.033589404742884,0.5294117647058824
0.45,3,51,2,0.15729,55.580040786983375,0.5294117647058824
0.45,3,52,0,0.18614,28.763384259986275,0.5192307692307693
0.45,3,52,1,0.19302,42.46021735491738,0.5192307692307693
0.45,3,52,2,0.19489,56.211916386758595,0.5192307692307693
0.45,3,53,0,0.22533,28.991005499626187,0.5094339622641509
0.45,3,53,1,0.23233,42.88979700624774,0.5094339622641509
0.45,3,53,2,0.23349,56.82395803477006,0.5094339622641509
0.45,3,54,0,0.2675,29.192728253055357,0.5
0.45,3,54,1,0.27049,43.29079419970026,0.5
0.45,3,54,2,0.27256,57.44629622835339,0.5
0.45,3,55,0,0.31168,29.379143179395037,0.4909090909090909
0.45,3,55,1,0.31734,43.69491469959422,0.4909090909090909
0.45,3,55,2,0.31348,58.051669962996044,0.4909090909090909
0.45,3,56,0,0.35464,29.576043528431867,0.48214285714285715
0.45,3,56,1,0.36302,44.07435169920708,0.48214285714285715
0.45,3,56,2,0.36151,58.59976742849968,0.48214285714285715
0.45,3,57,0,0.40587,29.76342131148473,0.47368421052631576
0.45,3,57,1,0.41117,44.42908229985351,0.47368421052631576
0.45,3,57,2,0.40845,59.131522076894825,0.47368421052631576
0.45,3,58,0,0.45427,29.944551782995877,0.46551724137931033
0.45,3,58,1,0.45701,44.787717151450984,0.46551724137931033
0.45,3,58,2,0.45414,59.68341260404281,0.46551724137931033
0.45,3,59,0,0.50359,30.12650515452894,0.4576271186440678
0.45,3,59,1,0.50437,45.14208891213869,0.4576271186440678
0.45,3,59,2,0.50402,60.16800500895873,0.4576271186440678
0.45,3,60,0,0.5516,30.280298223350254,0.45
0.45,3,60,1,0.55044,45.44642258221395,0.45
0.45,3,60,2,0.55377,60.67751503331707,0.45
0.45,3,61,0,0.59774,30.43818897333803,0.4426229508196721
0.45,3,61,1,0.59605,45.769827647396646,0.4426229508196721
0.45,3,61,2,0.59476,61.185444225725185,0.4426229508196721
0.45,3,62,0,0.64371,30.58912995938209,0.43548387096774194
0.45,3,62,1,0.63739,46.06011052284135,0.43548387096774194
0.45,3,62,2,0.63825,61.59541263671698,0.43548387096774194
0.45,3,63,0,0.68096,30.734544161636066,0.42857142857142855
0.45,3,63,1,0.67778,46.351357486091466,0.42857142857142855
0.45,3,63,2,0.67755,62.030955705795186,0.42857142857142855
0.45,3,64,0,0.7221,30.861373877472747,0.421875
0.45,3,64,1,0.71618,46.63349834699913,0.421875
0.45,3,64,2,0.71786,62.44658670321404,0.421875
0.45,3,65,0,0.7603,30.98380446989549,0.4153846153846154
0.45,3,65,1,0.75273,46.872001299883806,0.4153846153846154
0.45,3,65,2,0.75138,62.81294341488584,0.4153846153846154
0.45,3,66,0,0.79178,31.09277149635582,0.4090909090909091
0.45,3,66,1,0.78541,47.11147925679189,0.4090909090909091
0.45,3,66,2,0.78332,63.174697245255885,0.4090909090909091
0.45,3,67,0,0.82138,31.198752989808895,0.40298507462686567
0.45,3,67,1,0.81375,47.33690889755405,0.40298507462686567
0.45,3,67,2,0.81641,63.45341895521951,0.40298507462686567
0.45,3,68,0,0.84777,31.294764499805368,0.39705882352941174
0.45,3,68,1,0.84076,47.515636036260226,0.39705882352941174
0.45,3,68,2,0.84182,63.76884652849229,0.39705882352941174
0.45,3,69,0,0.87301,31.40144112368084,0.391304347826087
0.45,3,69,1,0.86305,47.68057827115818,0.391304347826087
0.45,3,69,2,0.86402,64.06782450726746,0.391304347826087
0.45,3,70,0,0.8939,31.460640279845453,0.38571428571428573
0.45,3,70,1,0.88366,47.879829781381275,0.38571428571428573
0.45,3,70,2,0.88627,64.32153315841413,0.38571428571428573
0.45,3,71,0,0.90954,31.54198508629045,0.38028169014084506
0.45,3,71,1,0.90325,48.03364772509528,0.38028169014084506
0.45,3,71,2,0.90383,64.54419078979282,0.38028169014084506
0.45,3,72,0,0.92592,31.604595346333294,0.375
0.45,3,72,1,0.91974,48.15391389874396,0.375
0.45,3,72,2,0.91948,64.78279633806397,0.375
0.45,3,73,0,0.938,31.674042561915698,0.3698630136986301
0.45,3,73,1,0.93159,48.26634488430449,0.3698630136986301
0.45,3,73,2,0.93227,64.9324704546636,0.3698630136986301
0.45,3,74,0,0.94974,31.70661383439354,0.36486486486486486
0.45,3,74,1,0.94343,48.373993749485294,0.36486486486486486
0.45,3,74,2,0.94409,65.09813275624796,0.36486486486486486
0.45,3,75,0,0.95985,31.771030930313632,0.36
0.45,3,75,1,0.95551,48.51571009601799,0.36
0.45,3,75,2,0.95513,65.28264879770695,0.36
0.45,3,76,0,0.967,31.805175602577357,0.35526315789473684
0.45,3,76,1,0.96282,48.5562602163836,0.35526315789473684
0.45,3,76,2,0.96434,65.36604150148128,0.35526315789473684
0.45,3,77,0,0.97274,31.84877649336292,0.35064935064935066
0.45,3,77,1,0.96947,48.65331255539307,0.35064935064935066
0.45,3,77,2,0.96983,65.4647463988534,0.35064935064935066
0.45,3,78,0,0.97921,31.863536186549123,0.34615384615384615
0.45,3,78,1,0.97564,48.71928051961158,0.34615384615384615
0.45,3,78,2,0.97564,65.58542242882778,0.34615384615384615
0.45,3,79,0,0.98269,31.900938906314458,0.34177215189873417
0.45,3,79,1,0.98034,48.780136718658056,0.34177215189873417
0.45,3,79,2,0.9806,65.6578027189005,0.34177215189873417
0.45,3,80,0,0.9867,31.91505484482073,0.3375
0.45,3,80,1,0.98483,48.804682416879444,0.3375
0.45,3,80,2,0.98444,65.72798221089381,0.3375
0.45,3,81,0,0.98969,31.926054739751454,0.3333333333333333
0.45,3,81,1,0.98811,48.85829824303273,0.3333333333333333
0.45,3,81,2,0.98776,65.77019740858883,0.3333333333333333
0.45,3,82,0,0.99212,31.95713762913296,0.32926829268292684
0.45,3,82,1,0.99007,48.86449365274094,0.32926829268292684
0.45,3,82,2,0.99018,65.86710633031755,0.32926829268292684
0.45,3,83,0,0.99374,31.964678696331344,0.3253012048192771
0.45,3,83,1,0.99205,48.89674450341754,0.3253012048192771
0.45,3,83,2,0.99244,65.89465009316585,0.3253012048192771
0.45,3,84,0,0.99485,31.960651199832984,0.32142857142857145
0.45,3,84,1,0.99361,48.96439014533639,0.32142857142857145
0.45,3,84,2,0.99434,65.89556215100545,0.32142857142857145
0.45,3,85,0,0.9963,31.97055451323744,0.3176470588235294
0.45,3,85,1,0.9952,48.960276635542925,0.3176470588235294
0.45,3,85,2,0.99527,65.96408222430557,0.3176470588235294
0.45,3,86,0,0.99718,31.99537985580876,0.313953488372093
0.45,3,86,1,0.99603,48.979577769900345,0.313953488372093
0.45,3,86,2,0.9965,65.9591869620595,0.313953488372093
0.45,3,87,0,0.9979,31.986285622884985,0.3103448275862069
0.45,3,87,1,0.99722,48.97405363834537,0.3103448275862069
0.45,3,87,2,0.99738,66.01830063998445,0.3103448275862069
0.45,3,88,0,0.99833,31.99131877157931,0.3068181818181818
0.45,3,88,1,0.99765,49.028237511999336,0.3068181818181818
0.45,3,88,2,0.99798,65.98327467638475,0.3068181818181818
0.45,3,89,0,0.99876,31.994978581132916,0.30337078651685395
0.45,3,89,1,0.99824,49.00696957414279,0.30337078651685395
0.45,3,89,2,0.99838,66.0294436602681,0.30337078651685395
0.45,3,90,0,0.99886,32.01767418703476,0.3
0.45,3,90,1,0.99865,48.99780858004459,0.3
0.45,3,90,2,0.99889,66.01928717799834,0.3
0.45,3,91,0,0.99939,32.010225275879826,0.2967032967032967
0.45,3,91,1,0.99897,49.030468690443456,0.2967032967032967
0.45,3,91,2,0.99902,66.05880108660332,0.2967032967032967
0.45,3,92,0,0.99946,32.00691257894648,0.29347826086956524
0.45,3,92,1,0.99925,49.023952579819486,0.29347826086956524
0.45,3,92,2,0.99933,66.00066852483472,0.29347826086956524
0.45,3,93,0,0.99968,32.000714267026986,0.2903225806451613
0.45,3,93,1,0.99945,49.029941467807284,0.2903225806451613
0.45,3,93,2,0.99938,66.09619983620613,0.2903225806451613
0.45,3,94,0,0.99973,32.00586562217953,0.2872340425531915
0.45,3,94,1,0.99959,49.03604901086368,0.2872340425531915
0.45,3,94,2,0.99971,66.03159339285315,0.2872340425531915
0.45,3,95,0,0.99988,32.00914494354707,0.28421052631578947
0.45,3,95,1,0.99976,49.04860628089203,0.28421052631578947
0.45,3,95,2,0.99965,66.03947824046108,0.28421052631578947
0.45,3,96,0,0.99985,32.01537057481699,0.28125
0.45,3,96,1,0.99985,49.028779316897534,0.28125
0.45,3,96,2,0.99974,66.03714273403394,0.28125
0.45,3,97,0,0.99992,32.00964442540018,0.27835051546391754
0.45,3,97,1,0.99974,49.024323247121174,0.27835051546391754
0.45,3,97,2,0.99982,66.020681799647,0.27835051546391754
0.45,3,98,0,0.99993,32.01153407661612,0.2755102040816326
0.45,3,98,1,0.99998,49.01879960676136,0.2755102040816326
0.45,3,98,2,0.99986,66.08990643305448,0.2755102040816326
0.45,3,99,0,0.99995,32.003580948278184,0.2727272727272727
0.45,3,99,1,0.99993,49.03790188390109,0.2727272727272727
0.45,3,99,2,0.9999,66.06119746590042,0.2727272727272727
0.45,3,100,0,0.99999,32.010043177354845,0.27
0.45,3,100,1,0.99994,49.050069927272546,0.27
0.45,3,100,2,0.99988,66.03454914589751,0.27
