PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate
0.45,2,40,0,0.00096,26.081730769230763,0.675
0.45,2,40,1,0.01517,36.48914862329496,0.675
0.45,2,40,2,0.00311,47.76218154835518,0.675
0.45,2,41,0,0.00178,26.30023768366465,0.6585365853658537
0.45,2,41,1,0.02167,36.98936849952078,0.6585365853658537
0.45,2,41,2,0.00609,48.61074270557029,0.6585365853658537
0.45,2,42,0,0.00342,26.55617408906882,0.6428571428571429
0.45,2,42,1,0.03182,37.46627665232317,0.6428571428571429
0.45,2,42,2,0.00994,49.31763658876335,0.6428571428571429
0.45,2,43,0,0.00614,26.79685542470558,0.627906976744186
0.45,2,43,1,0.04243,37.95305389872913,0.627906976744186
0.45,2,43,2,0.01585,50.082746906090755,0.627906976744186
0.45,2,44,0,0.01057,27.056436940542902,0.6136363636363636
0.45,2,44,1,0.0568,38.438210996749724,0.6136363636363636
0.45,2,44,2,0.02403,50.862863728032266,0.6136363636363636
0.45,2,45,0,0.01655,27.290030211480364,0.6
0.45,2,45,1,0.07247,38.8414038700364,0.6
0.45,2,45,2,0.03572,51.524706047032474,0.6
0.45,2,46,0,0.02793,27.548541683880025,0.5869565217391305
0.45,2,46,1,0.09442,39.33671973017451,0.5869565217391305
0.45,2,46,2,0.05004,52.280368013281674,0.5869565217391305
0.45,2,47,0,0.04172,27.794361678589866,0.574468085106383
0.45,2,47,1,0.1189,39.777899980591314,0.574468085106383
0.45,2,47,2,0.06968,52.960925770555505,0.574468085106383
0.45,2,48,0,0.0622,28.03795139747712,0.5625
0.45,2,48,1,0.14465,40.21698263713472,0.5625
0.45,2,48,2,0.09437,53.64180272413821,0.5625
0.45,2,49,0,0.08499,28.26807678731435,0.5510204081632653
0.45,2,49,1,0.175,40.623065934065934,0.5510204081632653
0.45,2,49,2,0.12122,54.33809158173949,0.5510204081632653
0.45,2,50,0,0.11635,28.507685696340616,0.54
0.45,2,50,1,0.20887,41.057383871454824,0.54
0.45,2,50,2,0.15502,54.98392887270129,0.54
0.45,2,51,0,0.15472,28.716409543791265,0.5294117647058824
0.45,2,51,1,0.24286,41.42536219030907,0.5294117647058824
0.45,2,51,2,0.19325,55.65256741964374,0.5294117647058824
0.45,2,52,0,0.19738,28.931488070648573,0.5192307692307693
0.45,2,52,1,0.281,41.84901450862304,0.5192307692307693
0.45,2,52,2,0.23389,56.25896624646037,0.5192307692307693
0.45,2,53,0,0.25046,29.14669700059583,0.5094339622641509
0.45,2,53,1,0.32182,42.22307142549825,0.5094339622641509
0.45,2,53,2,0.28248,56.89327903405006,0.5094339622641509
0.45,2,54,0,0.30536,29.365490417363613,0.5
0.45,2,54,1,0.36289,42.632499358780045,0.5
0.45,2,54,2,0.33068,57.47494963757664,0.5
0.45,2,55,0,0.35978,29.5541907020102,0.4909090909090909
0.45,2,55,1,0.40535,42.9680380677667,0.4909090909090909
0.45,2,55,2,0.38188,58.04608626552037,0.4909090909090909
0.45,2,56,0,0.42081,29.755629253472694,0.48214285714285715
0.45,2,56,1,0.44642,43.33927519100675,0.48214285714285715
0.45,2,56,2,0.43648,58.55931146726257,0.48214285714285715
0.45,2,57,0,0.48278,29.93364751264312,0.47368421052631576
0.45,2,57,1,0.48461,43.67098523316925,0.47368421052631576
0.45,2,57,2,0.48528,59.134294396256564,0.47368421052631576
0.45,2,58,0,0.54406,30.099810470564616,0.46551724137931033
0.45,2,58,1,0.53291,44.028234670885396,0.46551724137931033
0.45,2,58,2,0.53875,59.629366410851325,0.46551724137931033
0.45,2,59,0,0.60589,30.264732935782956,0.4576271186440678
0.45,2,59,1,0.57028,44.353718281438,0.4576271186440678
0.45,2,59,2,0.59027,60.087378526906186,0.4576271186440678
0.45,2,60,0,0.66116,30.411383605504543,0.45
0.45,2,60,1,0.60753,44.617806148224396,0.45
0.45,2,60,2,0.63584,60.55643533932096,0.45
0.45,2,61,0,0.7126,30.547121591571486,0.4426229508196721
0.45,2,61,1,0.64608,44.9250539347354,0.4426229508196721
0.45,2,61,2,0.68195,60.94206940504323,0.4426229508196721
0.45,2,62,0,0.75883,30.67453919444813,0.43548387096774194
0.45,2,62,1,0.68177,45.209869446158805,0.43548387096774194
0.45,2,62,2,0.72513,61.36804116821493,0.43548387096774194
0.45,2,63,0,0.80351,30.79227748828936,0.42857142857142855
0.45,2,63,1,0.71731,45.44969292323992,0.42857142857142855
0.45,2,63,2,0.76467,61.771205225783675,0.42857142857142855
0.45,2,64,0,0.84093,30.902681920840386,0.421875
0.45,2,64,1,0.74781,45.71572838843268,0.421875
0.45,2,64,2,0.80226,62.07388766158678,0.421875
0.45,2,65,0,0.86941,30.991965815898137,0.4153846153846154
0.45,2,65,1,0.77755,45.948897671680776,0.4153846153846154
0.45,2,65,2,0.83179,62.36029781000566,0.4153846153846154
0.45,2,66,0,0.89881,31.081083278488734,0.4090909090909091
0.45,2,66,1,0.80106,46.1777783859463,0.4090909090909091
0.45,2,66,2,0.85967,62.697372247490314,0.4090909090909091
0.45,2,67,0,0.92102,31.14459115562512,0.40298507462686567
0.45,2,67,1,0.8274,46.388645618341044,0.40298507462686567
0.45,2,67,2,0.87986,62.914066092682575,0.40298507462686567
0.45,2,68,0,0.93796,31.206561826484307,0.39705882352941174
0.45,2,68,1,0.85059,46.56281115280162,0.39705882352941174
0.45,2,68,2,0.90236,63.1682402469422,0.39705882352941174
0.45,2,69,0,0.95358,31.253578619518024,0.391304347826087
0.45,2,69,1,0.87083,46.7206528872985,0.391304347826087
0.45,2,69,2,0.92059,63.364931310773116,0.391304347826087
0.45,2,70,0,0.96475,31.301208962066696,0.38571428571428573
0.45,2,70,1,0.88795,46.894129520459835,0.38571428571428573
0.45,2,70,2,0.93635,63.55559537648233,0.38571428571428573
0.45,2,71,0,0.97398,31.340630316212458,0.38028169014084506
0.45,2,71,1,0.90292,47.04333206110772,0.38028169014084506
0.45,2,71,2,0.94851,63.67725736641194,0.38028169014084506
0.45,2,72,0,0.981,31.364643613267468,0.375
0.45,2,72,1,0.91816,47.17090116688227,0.375
0.45,2,72,2,0.95903,63.87349016113236,0.375
0.45,2,73,0,0.98625,31.38647265282246,0.3698630136986301
0.45,2,73,1,0.92915,47.30933152302145,0.3698630136986301
0.45,2,73,2,0.96782,63.9769672682301,0.3698630136986301
0.45,2,74,0,0.99044,31.407023257728493,0.36486486486486486
0.45,2,74,1,0.94175,47.398290825182244,0.36486486486486486
0.45,2,74,2,0.97431,64.11130302865222,0.36486486486486486
0.45,2,75,0,0.99321,31.41900330164897,0.36
0.45,2,75,1,0.95005,47.48922526344768,0.36
0.45,2,75,2,0.98005,64.15688367547966,0.36
0.45,2,76,0,0.99451,31.420968424341936,0.35526315789473684
0.45,2,76,1,0.95756,47.59473196296999,0.35526315789473684
0.45,2,76,2,0.98485,64.20245566486109,0.35526315789473684
0.45,2,77,0,0.99627,31.44407100021542,0.35064935064935066
0.45,2,77,1,0.96443,47.667737579550774,0.35064935064935066
0.45,2,77,2,0.9876,64.30960837461443,0.35064935064935066
0.45,2,78,0,0.99755,31.45217128117734,0.34615384615384615
0.45,2,78,1,0.97026,47.744841192448014,0.34615384615384615
0.45,2,78,2,0.9911,64.36457355075555,0.34615384615384615
0.45,2,79,0,0.99827,31.44864172711097,0.34177215189873417
0.45,2,79,1,0.97586,47.7869914347739,0.34177215189873417
0.45,2,79,2,0.99276,64.37389875777552,0.34177215189873417
0.45,2,80,0,0.99885,31.4538334469255,0.3375
0.45,2,80,1,0.97926,47.875925541892705,0.3375
0.45,2,80,2,0.99446,64.36947612852124,0.3375
0.45,2,81,0,0.99928,31.463703866784076,0.3333333333333333
0.45,2,81,1,0.98287,47.941922047754964,0.3333333333333333
0.45,2,81,2,0.99542,64.47519350162204,0.3333333333333333
0.45,2,82,0,0.99949,31.453332545752176,0.32926829268292684
0.45,2,82,1,0.98602,47.983468505085696,0.32926829268292684
0.45,2,82,2,0.99675,64.4681628754992,0.32926829268292684
0.45,2,83,0,0.9997,31.45880687283107,0.3253012048192771
0.45,2,83,1,0.98915,47.99591724052119,0.3253012048192771
0.45,2,83,2,0.99781,64.45772684486717,0.3253012048192771
0.45,2,84,0,0.99979,31.458744797946032,0.32142857142857145
0.45,2,84,1,0.99084,48.037562534353135,0.32142857142857145
0.45,2,84,2,0.99847,64.49171077903037,0.32142857142857145
0.45,2,85,0,0.99982,31.460077236979576,0.3176470588235294
0.45,2,85,1,0.99254,48.04274115672144,0.3176470588235294
0.45,2,85,2,0.99868,64.45607913984921,0.3176470588235294
0.45,2,86,0,0.99992,31.460865907734153,0.313953488372093
0.45,2,86,1,0.99412,48.09586909489336,0.313953488372093
0.45,2,86,2,0.99902,64.47049262123035,0.313953488372093
0.45,2,87,0,0.99995,31.45823445018404,0.3103448275862069
0.45,2,87,1,0.99498,48.069037336660806,0.3103448275862069
0.45,2,87,2,0.9994,64.44613210233831,0.3103448275862069
0.45,2,88,0,0.99995,31.470191778819707,0.3068181818181818
0.45,2,88,1,0.9961,48.10676638891677,0.3068181818181818
0.45,2,88,2,0.99965,64.5085616504238,0.3068181818181818
0.45,2,89,0,0.99999,31.457172264030334,0.30337078651685395
