PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate,Cost,Is_Feasible
0.45,2,81,0,0.99928,31.463703866784076,0.3333333333333333,1.8948990773356815,True
0.45,3,91,0,0.99939,32.010225275879826,0.2967032967032967,2.0620795055175964,True
0.45,5,102,0,0.99914,32.115861948968416,0.2647058823529412,2.236067238979368,True
0.45,10,119,0,0.99906,32.400687415401244,0.226890756302521,2.507388748308025,True
0.45,20,123,1,0.99897,49.927273168286405,0.2195121951219512,2.9304204633657194,True
0.45,40,128,1,0.99323,50.956312698507354,0.2109375,4.942459587303496,True
0.55,2,70,0,0.99899,28.84675445276653,0.3857142857142857,1.6740184223886485,True
0.55,3,78,0,0.99921,28.901671743754488,0.3461538461538461,1.7967834348750897,True
0.55,5,88,0,0.99896,29.02929816239658,0.3068181818181818,1.9689192965812783,True
0.55,10,92,1,0.99899,43.128879398962184,0.2934782608695652,2.303410921312562,True
0.55,20,111,1,0.99903,43.775504547103,0.2432432432432432,2.60988509094206,True
0.55,40,128,1,0.99713,44.955454847720645,0.2109375,3.522442430287758,True
0.65,2,61,0,0.99921,26.70699275504571,0.4426229508196721,1.4872648551009142,True
0.65,3,67,0,0.999,26.76656849156849,0.4029850746268656,1.5822063698313698,True
0.65,5,78,0,0.99893,26.87196839079353,0.3461538461538461,1.7795227011492087,True
0.65,10,81,1,0.99896,38.773520615286046,0.3333333333333333,2.0544287456390675,True
0.65,20,101,1,0.99895,39.396266079383345,0.2673267326732673,2.382716988254332,True
0.65,40,127,1,0.99868,40.52272846310977,0.2125984251968504,2.9014962359288576,True
0.75,2,53,0,0.99907,25.11650065329988,0.5094339622641509,1.3304550130659976,True
0.75,3,59,0,0.9991,25.15295977918588,0.4576271186440678,1.4249341955837176,True
0.75,5,70,0,0.99896,25.245374420166197,0.3857142857142857,1.6119908217366705,True
0.75,10,72,1,0.99902,35.54114570740865,0.375,1.835822914148173,True
0.75,20,92,1,0.99914,36.02070857860837,0.2934782608695652,2.1579141715721675,True
0.75,40,123,1,0.99894,36.92855195738252,0.2195121951219512,2.6804460391476335,True
0.85,2,46,0,0.99925,23.89190450530205,0.5869565217391305,1.196588090106041,True
0.85,3,52,0,0.99912,23.923760601637127,0.5192307692307693,1.2909752120327425,True
0.85,5,62,0,0.99934,23.974908054700716,0.4354838709677419,1.4482481610940143,True
0.85,10,63,1,0.99915,32.97899945723095,0.4285714285714285,1.643954989144619,True
0.85,20,69,2,0.99891,42.106807959137,0.391304347826087,1.9502611591827514,True
0.85,40,96,2,0.99906,42.663870384315096,0.28125,2.353277407686302,True
0.95,2,40,0,0.99972,22.91917121409379,0.675,1.0833834242818758,True
0.95,3,43,0,0.99913,22.92342896011838,0.627906976744186,1.1303435792023675,True
0.95,5,50,0,0.9992,22.93733736989592,0.54,1.2399967473979183,True
0.95,10,52,1,0.99912,30.885046148302816,0.5192307692307693,1.4302009229660562,True
0.95,20,67,1,0.99897,30.95489123027488,0.4029850746268656,1.6759728246054892,True
0.95,40,78,2,0.9991,39.04016114503053,0.3461538461538461,1.9995532229006105,True
