PDR_Env,Burst_1_over_r,Action_N,Action_G,Success_Rate_URLLC,Expected_Latency,Coding_Rate,Cost,Is_Feasible
0.45,2,81,0,0.99928,31.463703866784076,0.3333333333333333,4.411995386678408,True
0.45,3,91,0,0.99939,32.010225275879826,0.2967032967032967,4.622897527587982,True
0.45,5,102,0,0.99914,32.115861948968416,0.2647058823529412,4.805336194896841,True
0.45,10,119,0,0.99906,32.400687415401244,0.226890756302521,5.099443741540124,True
0.45,20,124,1,0.99926,49.9743002129268,0.2177419354838709,6.93493002129268,True
0.45,40,128,1,0.99323,50.956312698507354,0.2109375,16.71229793651748,True
0.55,2,71,0,0.99943,28.856752194904935,0.380281690140845,3.9950502194904933,True
0.55,3,78,0,0.99921,28.901671743754488,0.3461538461538461,4.108917174375449,True
0.55,5,89,0,0.99921,29.048802400049883,0.3033707865168539,4.295505240004989,True
0.55,10,110,0,0.99902,29.383490051019233,0.2454545454545454,4.657099005101923,True
0.55,20,111,1,0.99903,43.775504547103,0.2432432432432432,6.111925454710299,True
0.55,40,128,1,0.99713,44.955454847720645,0.2109375,9.612212151438792,True
0.65,2,61,0,0.99921,26.70699275504571,0.4426229508196721,3.623824275504571,True
0.65,3,67,0,0.999,26.76656849156849,0.4029850746268656,3.7235318491568488,True
0.65,5,80,0,0.99915,26.88219024632476,0.3375,3.938219024632476,True
0.65,10,100,0,0.999,27.16137387387387,0.27,4.278637387387388,True
0.65,20,126,0,0.99857,27.72859323447915,0.2142857142857142,5.45827599011465,True
0.65,40,127,1,0.99868,40.52272846310977,0.2125984251968504,6.569981179644288,True
0.75,2,53,0,0.99907,25.11650065329988,0.5094339622641509,3.339775065329988,True
0.75,3,59,0,0.9991,25.15295977918588,0.4576271186440678,3.437170977918588,True
0.75,5,71,0,0.99918,25.244406182300253,0.380281690140845,3.6338156182300256,True
0.75,10,92,0,0.999,25.47417128667129,0.2934782608695652,3.9849171286671288,True
0.75,20,126,0,0.99907,25.927404794150867,0.2142857142857142,4.561490479415086,True
0.75,40,125,1,0.99904,36.8624417902725,0.216,5.63936917902725,True
0.85,2,46,0,0.99925,23.89190450530205,0.5869565217391305,3.107940450530205,True
0.85,3,52,0,0.99912,23.923760601637127,0.5192307692307693,3.2048760601637127,True
0.85,5,62,0,0.99934,23.974908054700716,0.4354838709677419,3.3662408054700714,True
0.85,10,81,0,0.99906,24.12360888465927,0.3333333333333333,3.677985888465927,True
0.85,20,115,0,0.99899,24.39538453068368,0.2347826086956521,4.253080119734959,True
0.85,40,117,1,0.99915,33.8254708810181,0.2307692307692307,5.21067208810181,True
0.95,2,40,0,0.99972,22.91917121409379,0.675,2.9169171214093788,True
0.95,3,43,0,0.99913,22.92342896011838,0.627906976744186,2.9642178960118377,True
0.95,5,50,0,0.9992,22.93733736989592,0.54,3.074983736989592,True
0.95,10,67,0,0.99914,22.971263940835268,0.4029850746268656,3.3440013940835267,True
0.95,20,95,0,0.99903,23.05320872785063,0.2842105263157894,3.789695872785063,True
0.95,40,95,1,0.99906,31.117875803255064,0.2842105263157894,4.596162580325506,True
